source,source_detail,text,rating,date,url,themes,mode
play_store,com.myntra.android,Good quality and varieties of products are available at Myntra you must visit and buy accordingly.,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,been using Myntra for about 12 years. over the years they have improved a lot and gives peace of mind in choosing genuine products. however the platform fee is too high,4,2026-08-19,,,rules
play_store,com.myntra.android,Myntra is honestly one of my favourite shopping apps! ❤️ The app is very easy to use. the collection is amazing & there are always great discounts & offers. I love how easy it is to search products compare options & check reviews before buying. The product variety is excellent & the overall shopping experience is smooth and convenient. 🛍️ Delivery & packaging have also been good in my experience & the return/exchange process is quite convenient. Thank u Myntra for making online shopping so easy,5,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,nice app and great product take a but longer for deliver products,5,2026-08-19,,,rules
play_store,com.myntra.android,"Good, but not budget friendly for everyone!",5,2026-08-19,,,rules
play_store,com.myntra.android,myntra sarvice sabse bekar hai mara order 14 August ko delivered hona tha or aaj 19 august ho gyi hai aaj tak Oder nhi aaya inki helpline pr baat kro to next time next bolte hai koi kuch bhi help nhi krte sabse bekar platform hai 👎👎👎,1,2026-08-19,,,rules
play_store,com.myntra.android,Best quality of product,5,2026-08-19,,quality_doubt,rules
play_store,com.myntra.android,"today 19 Jul 26 almost 70 days passed, I returned a product worth ₹10,999 but have still not received my refund since 8 jun 26 order. Customer support keeps giving different instructions—first chargeback, then bank statement, bank details, and now a bank denial letter. I have submitted every document requested, yet there is no resolution. I have spent weeks following up and visiting my bank. worst ever merchant in my life. please don't buy anything here 🙏. myntra is complete fraud and scam.",1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,Myntra's return policy is complicated when you receive the wrong product. I have been waiting for days and still the issue is not getting resolved. Also their packaging is the worst.,1,2026-08-19,,delivery_return_fear,rules
play_store,com.myntra.android,Disgusting app it is rascal,1,2026-08-19,,,rules
play_store,com.myntra.android,Nice App Placed My Placed First Order And My First Delivered Thank You,5,2026-08-19,,,rules
play_store,com.myntra.android,Myntra is one of the best shopping app not only for clothes but for everything.,5,2026-08-19,,,rules
play_store,com.myntra.android,best product and trusted brand,5,2026-08-19,,,rules
play_store,com.myntra.android,This is the worst app customer ki koi help nhi krte jab unki koi complaint hoti h to I am very disappointed with Myntra,5,2026-08-19,,,rules
play_store,com.myntra.android,This application is absolutely genuine about original product .,5,2026-08-19,,,rules
play_store,com.myntra.android,bhut hi ghtiya sarvice hai. maltb apne me hi bolte rhate hai ise acha mehso hai kam se kam shai tarike se jabab to deta hai,1,2026-08-19,,,rules
play_store,com.myntra.android,Good & prompt service service .,5,2026-08-19,,,rules
